instance,family,n,m,p,seed,labelling,algorithm,bitset,mis_count,median_seconds,min_seconds,max_seconds,repeats,recursion_nodes,unproductive_calls,pivot_candidates,pivot_intersections,peak_kib
er_n24_p0.5_s1_random,er,24,139,0.5,1,random,bk_tomita_bit,1,86,0.000274500111117959,0.0002739168703556061,0.0002807921264320612,3,194,,,,6.9
er_n24_p0.5_s1_native,er,24,139,0.5,1,native,bk_basic,0,86,0.0005024580750614405,0.00044258381240069866,0.0005149161443114281,3,619,394,0,0,30.3
er_n24_p0.5_s1_native,er,24,139,0.5,1,native,bk_pivot,0,86,0.0002507499884814024,0.00023699994198977947,0.0002805411349982023,3,263,50,637,0,30.4
er_n24_p0.5_s1_native,er,24,139,0.5,1,native,bk_tomita,0,86,0.00030929106287658215,0.00029554194770753384,0.0003427499905228615,3,194,6,418,418,30.4
er_n24_p0.5_s1_native,er,24,139,0.5,1,native,bk_pivot_p,0,86,0.0002525411546230316,0.0002470000181347132,0.0002679161261767149,3,298,80,463,0,30.4
er_n24_p0.5_s1_native,er,24,139,0.5,1,native,bk_ikgp,0,86,0.0002971249632537365,0.00029629096388816833,0.00030800001695752144,3,216,31,375,375,30.4
er_n24_p0.5_s1_native,er,24,139,0.5,1,native,bk_basic_bit,1,86,0.00036866613663733006,0.0003573328722268343,0.0003697080537676811,3,619,,,,6.0
er_n24_p0.5_s1_native,er,24,139,0.5,1,native,bk_pivot_bit,1,86,0.0002366248518228531,0.0002347910776734352,0.00025104102678596973,3,263,,,,6.3
er_n24_p0.5_s1_native,er,24,139,0.5,1,native,bk_tomita_bit,1,86,0.00028420891612768173,0.0002740409690886736,0.00028679193928837776,3,194,,,,6.9
er_n24_p0.5_s1_degeneracy,er,24,139,0.5,1,degeneracy,bk_basic,0,86,0.0004417907912284136,0.00041379197500646114,0.0005050410982221365,3,619,404,0,0,30.6
er_n24_p0.5_s1_degeneracy,er,24,139,0.5,1,degeneracy,bk_pivot,0,86,0.00020904210396111012,0.0002002918627113104,0.00023366697132587433,3,225,25,462,0,30.4
er_n24_p0.5_s1_degeneracy,er,24,139,0.5,1,degeneracy,bk_tomita,0,86,0.0002961251884698868,0.0002868750598281622,0.00032037519849836826,3,190,6,408,408,30.4
er_n24_p0.5_s1_degeneracy,er,24,139,0.5,1,degeneracy,bk_pivot_p,0,86,0.00022000004537403584,0.00021199998445808887,0.0002222089096903801,3,252,52,390,0,30.4
er_n24_p0.5_s1_degeneracy,er,24,139,0.5,1,degeneracy,bk_ikgp,0,86,0.00030399998649954796,0.000297625083476305,0.0003062079194933176,3,224,37,381,381,30.4
er_n24_p0.5_s1_degeneracy,er,24,139,0.5,1,degeneracy,bk_basic_bit,1,86,0.0003936248831450939,0.0003915829584002495,0.0004065418615937233,3,619,,,,6.0
er_n24_p0.5_s1_degeneracy,er,24,139,0.5,1,degeneracy,bk_pivot_bit,1,86,0.0002643750049173832,0.00026295799762010574,0.00027545797638595104,3,263,,,,6.3
er_n24_p0.5_s1_degeneracy,er,24,139,0.5,1,degeneracy,bk_tomita_bit,1,86,0.0002791669685393572,0.00027454085648059845,0.00030170800164341927,3,194,,,,6.9
er_n24_p0.7_s1_random,er,24,189,0.7,1,random,bk_basic,0,44,0.00016333302482962608,0.000141416909173131,0.0001949160359799862,3,193,92,0,0,25.6
er_n24_p0.7_s1_random,er,24,189,0.7,1,random,bk_pivot,0,44,0.00012933299876749516,0.0001249159686267376,0.0001452078577131033,3,136,33,262,0,25.1
er_n24_p0.7_s1_random,er,24,189,0.7,1,random,bk_tomita,0,44,0.00015266588889062405,0.0001457498874515295,0.00017250003293156624,3,99,10,189,189,25.6
er_n24_p0.7_s1_random,er,24,189,0.7,1,random,bk_pivot_p,0,44,0.00012008403427898884,0.00011958298273384571,0.00012537487782537937,3,135,33,177,0,25.1
